COD_LOTE,FINCA,CAMPO,TIPOCORTE,VARIEDAD,MADURANTE,TIPO_MAD,TCH_REAL,cc_MAD,DIASMAD,EDAD,DIASSUP,MES_CORTE,CORE
57055,El Apante,BORB-01,MECANIZADA,RB86-7515,No,NO APLICADO,65.7089379,0,0,11.11111111,0,Ene,127.29
57055,El Apante,BORB-01,MECANIZADA,RB86-7515,No,NO APLICADO,65.7089379,0,0,11.11111111,0,Ene,143.07
57055,El Apante,BORB-01,MECANIZADA,RB86-7515,No,NO APLICADO,65.7089379,0,0,11.11111111,0,Ene,142.98
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,64,11.34122288,12,Ene,139.37
57055,El Apante,BORB-01,MECANIZADA,RB86-7515,No,NO APLICADO,65.7089379,0,0,11.11111111,0,Ene,134.2
16302,Sucuya,1630-2,MECANIZADA,CG02-163,Si,TRINEXAPAC ,119.1447534,11.33075492,93,12.91913215,67,Ene,134.79
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,64,11.34122288,12,Ene,133.32
57055,El Apante,BORB-01,MECANIZADA,RB86-7515,No,NO APLICADO,65.7089379,0,0,11.11111111,0,Ene,132.85
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,64,11.34122288,12,Ene,136.09
57055,El Apante,BORB-01,MECANIZADA,RB86-7515,No,NO APLICADO,65.7089379,0,0,11.11111111,0,Ene,137.76
57055,El Apante,BORB-01,MECANIZADA,RB86-7515,No,NO APLICADO,65.7089379,0,0,11.11111111,0,Ene,149.7
57049,El Apante,B-28,MECANIZADA,NA56-42,Si,GLIFOSATO ALEMAN,74.05493421,11.34293088,57,11.078238,0,Ene,151.02
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,64,11.34122288,12,Ene,118.37
57049,El Apante,B-28,MECANIZADA,NA56-42,Si,GLIFOSATO ALEMAN,74.05493421,11.34293088,57,11.078238,0,Ene,124.95
16332,Sucuya,1633-2,MECANIZADA,RB84-5210,Si,TRINEXAPAC ,88.11426426,13.84565836,93,13.11637081,52,Ene,136.8
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,64,11.34122288,12,Ene,129.91
57055,El Apante,BORB-01,MECANIZADA,RB86-7515,No,NO APLICADO,65.7089379,0,0,11.11111111,0,Ene,124.08
57055,El Apante,BORB-01,MECANIZADA,RB86-7515,No,NO APLICADO,65.7089379,0,0,11.11111111,0,Ene,132.12
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,64,11.34122288,12,Ene,142.77
16332,Sucuya,1633-2,MECANIZADA,RB84-5210,Si,TRINEXAPAC ,88.11426426,13.84565836,93,13.11637081,52,Ene,122.93
57055,El Apante,BORB-01,MECANIZADA,RB86-7515,No,NO APLICADO,65.7089379,0,0,11.11111111,0,Ene,132.1
16332,Sucuya,1633-2,MECANIZADA,RB84-5210,Si,TRINEXAPAC ,88.11426426,13.84565836,93,13.11637081,52,Ene,116.76
57049,El Apante,B-28,MECANIZADA,NA56-42,Si,GLIFOSATO ALEMAN,74.05493421,11.34293088,57,11.078238,0,Ene,139.42
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,64,11.34122288,12,Ene,131.17
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,64,11.34122288,12,Ene,153.46
16302,Sucuya,1630-2,MECANIZADA,CG02-163,Si,TRINEXAPAC ,119.1447534,11.33075492,93,12.91913215,67,Ene,121.91
16332,Sucuya,1633-2,MECANIZADA,RB84-5210,Si,TRINEXAPAC ,88.11426426,13.84565836,93,13.11637081,52,Ene,124.74
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,64,11.34122288,12,Ene,129.09
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,64,11.34122288,12,Ene,134.93
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,64,11.34122288,12,Ene,138.46
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,64,11.34122288,12,Ene,137.04
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,64,11.34122288,12,Ene,133.74
57049,El Apante,B-28,MECANIZADA,NA56-42,Si,GLIFOSATO ALEMAN,74.05493421,11.34293088,57,11.078238,0,Ene,133.17
57034,El Apante,B-11,MECANIZADA,CP72-2086,No,NO APLICADO,56.39670563,0,0,11.078238,0,Ene,116.67
57034,El Apante,B-11,MECANIZADA,CP72-2086,No,NO APLICADO,56.39670563,0,0,11.078238,0,Ene,126.6
16332,Sucuya,1633-2,MECANIZADA,RB84-5210,Si,TRINEXAPAC ,88.11426426,13.84565836,93,13.11637081,52,Ene,128.68
57034,El Apante,B-11,MECANIZADA,CP72-2086,No,NO APLICADO,56.39670563,0,0,11.078238,0,Ene,119.88
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,64,11.34122288,12,Ene,125.89
57034,El Apante,B-11,MECANIZADA,CP72-2086,No,NO APLICADO,56.39670563,0,0,11.078238,0,Ene,125.48
57034,El Apante,B-11,MECANIZADA,CP72-2086,No,NO APLICADO,56.39670563,0,0,11.078238,0,Ene,106.36
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,64,11.34122288,12,Ene,136.66
57034,El Apante,B-11,MECANIZADA,CP72-2086,No,NO APLICADO,56.39670563,0,0,11.078238,0,Ene,103.65
16302,Sucuya,1630-2,MECANIZADA,CG02-163,Si,TRINEXAPAC ,119.1447534,11.33075492,93,12.91913215,67,Ene,126.4
57046,El Apante,B-25,MECANIZADA,CP72-2086,Si,GLIFOSATO ALEMAN,106.5619955,10.88568203,65,13.31360947,0,Ene,126.41
16332,Sucuya,1633-2,MECANIZADA,RB84-5210,Si,TRINEXAPAC ,88.11426426,13.84565836,93,13.11637081,52,Ene,127.88
57046,El Apante,B-25,MECANIZADA,CP72-2086,Si,GLIFOSATO ALEMAN,106.5619955,10.88568203,65,13.31360947,0,Ene,120.46
16332,Sucuya,1633-2,MECANIZADA,RB84-5210,Si,TRINEXAPAC ,88.11426426,13.84565836,93,13.11637081,52,Ene,124.73
57046,El Apante,B-25,MECANIZADA,CP72-2086,Si,GLIFOSATO ALEMAN,106.5619955,10.88568203,65,13.31360947,0,Ene,122.34
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,64,11.34122288,12,Ene,133.91
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,64,11.34122288,12,Ene,132.11
57034,El Apante,B-11,MECANIZADA,CP72-2086,No,NO APLICADO,56.39670563,0,0,11.078238,0,Ene,131.86
57046,El Apante,B-25,MECANIZADA,CP72-2086,Si,GLIFOSATO ALEMAN,106.5619955,10.88568203,65,13.31360947,0,Ene,139.07
57046,El Apante,B-25,MECANIZADA,CP72-2086,Si,GLIFOSATO ALEMAN,106.5619955,10.88568203,65,13.31360947,0,Ene,126.7
