COD_LOTE,FINCA,CAMPO,TIPOCORTE,VARIEDAD,MADURANTE,TIPO_MAD,TCH_REAL,cc_MAD,DIASMAD,EDAD,DIASSUP,MES_CORTE,CORE
54014,Los Jicaros,GTE.-07,MECANIZADA,CP72-2086,No,NO APLICADO,118.3971488,0,0.00,10.91387245,13,Feb,116.210
54014,Los Jicaros,GTE.-07,MECANIZADA,CP72-2086,No,NO APLICADO,118.3971488,0,0.00,10.91387245,13,Feb,114.720
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.60420776,17,Feb,127.850
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.16305062,42,Feb,136.050
54014,Los Jicaros,GTE.-07,MECANIZADA,CP72-2086,No,NO APLICADO,118.3971488,0,0.00,10.91387245,13,Feb,118.220
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.60420776,17,Feb,120.030
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.60420776,17,Feb,128.200
54014,Los Jicaros,GTE.-07,MECANIZADA,CP72-2086,No,NO APLICADO,118.3971488,0,0.00,10.91387245,13,Feb,118.490
54014,Los Jicaros,GTE.-07,MECANIZADA,CP72-2086,No,NO APLICADO,118.3971488,0,0.00,10.91387245,13,Feb,110.460
54014,Los Jicaros,GTE.-07,MECANIZADA,CP72-2086,No,NO APLICADO,118.3971488,0,0.00,10.91387245,13,Feb,112.870
54006,Los Jicaros,GTE.-03,MECANIZADA,CP72-2086,No,NO APLICADO,110.4808362,0,0.00,10.25641026,22,Feb,125.520
54014,Los Jicaros,GTE.-07,MECANIZADA,CP72-2086,No,NO APLICADO,118.3971488,0,0.00,10.91387245,13,Feb,114.120
54014,Los Jicaros,GTE.-07,MECANIZADA,CP72-2086,No,NO APLICADO,118.3971488,0,0.00,10.91387245,13,Feb,117.530
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.60420776,17,Feb,129.010
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.60420776,17,Feb,124.410
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.16305062,42,Feb,140.050
