CODLOTE,FINCA,CAMPO,TIPOCORTE,VARIEDAD,MADURANTE,TIPOMAD,TCHREAL,ccMAD,DIASMAD,EDAD,DIASSUP,MESCORTE,CORE
60007,Vasconia,ANIMAS02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,75.02749734,11.7290331,44,11.34122288,19,Dic,128.14
35003,Los Jicaros  La Teca,GEMELOS,MECANIZADA,CP722086,Si,TRINEXAPAC ,128.3826535,11.6059293,60,12.22879684,20,Dic,116.99
35003,Los Jicaros  La Teca,GEMELOS,MECANIZADA,CP722086,Si,TRINEXAPAC ,128.3826535,11.6059293,60,12.22879684,20,Dic,130.52
61032,Waterloo,PLAT07,MANUAL,CP722086,Si,GLIFOSATO ALEMAN,126.8217391,11.43337104,66,11.86719264,19,Dic,144.88
60007,Vasconia,ANIMAS02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,75.02749734,11.7290331,44,11.34122288,19,Dic,137.11
35003,Los Jicaros  La Teca,GEMELOS,MECANIZADA,CP722086,Si,TRINEXAPAC ,128.3826535,11.6059293,60,12.22879684,20,Dic,111.86
60007,Vasconia,ANIMAS02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,75.02749734,11.7290331,44,11.34122288,19,Dic,138.48
60007,Vasconia,ANIMAS02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,75.02749734,11.7290331,44,11.34122288,19,Dic,138.77
35003,Los Jicaros  La Teca,GEMELOS,MECANIZADA,CP722086,Si,TRINEXAPAC ,128.3826535,11.6059293,60,12.22879684,20,Dic,114.62
35003,Los Jicaros  La Teca,GEMELOS,MECANIZADA,CP722086,Si,TRINEXAPAC ,128.3826535,11.6059293,60,12.22879684,20,Dic,127.35
60007,Vasconia,ANIMAS02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,75.02749734,11.7290331,44,11.34122288,19,Dic,128.6
16643,Sucuya,16643,MECANIZADA,CP731547,Si,GLIFOSATO ALEMAN,94.76676385,13.08475619,53,11.66995398,19,Dic,113.79
35003,Los Jicaros  La Teca,GEMELOS,MECANIZADA,CP722086,Si,TRINEXAPAC ,128.3826535,11.6059293,60,12.22879684,20,Dic,118.55
16643,Sucuya,16643,MECANIZADA,CP731547,Si,GLIFOSATO ALEMAN,94.76676385,13.08475619,53,11.66995398,19,Dic,110.01
35003,Los Jicaros  La Teca,GEMELOS,MECANIZADA,CP722086,Si,TRINEXAPAC ,128.3826535,11.6059293,60,12.22879684,20,Dic,111.55
60007,Vasconia,ANIMAS02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,75.02749734,11.7290331,44,11.34122288,19,Dic,128.97
16643,Sucuya,16643,MECANIZADA,CP731547,Si,GLIFOSATO ALEMAN,94.76676385,13.08475619,53,11.66995398,19,Dic,125.92
16643,Sucuya,16643,MECANIZADA,CP731547,Si,GLIFOSATO ALEMAN,94.76676385,13.08475619,54,11.70282709,20,Dic,127.48
35003,Los Jicaros  La Teca,GEMELOS,MECANIZADA,CP722086,Si,TRINEXAPAC ,128.3826535,11.6059293,61,12.26166995,21,Dic,129.53
60007,Vasconia,ANIMAS02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,75.02749734,11.7290331,45,11.37409599,20,Dic,139.97
35003,Los Jicaros  La Teca,GEMELOS,MECANIZADA,CP722086,Si,TRINEXAPAC ,128.3826535,11.6059293,61,12.26166995,21,Dic,138.71
35003,Los Jicaros  La Teca,GEMELOS,MECANIZADA,CP722086,Si,TRINEXAPAC ,128.3826535,11.6059293,61,12.26166995,21,Dic,129.93
35003,Los Jicaros  La Teca,GEMELOS,MECANIZADA,CP722086,Si,TRINEXAPAC ,128.3826535,11.6059293,61,12.26166995,21,Dic,116.22
35003,Los Jicaros  La Teca,GEMELOS,MECANIZADA,CP722086,Si,TRINEXAPAC ,128.3826535,11.6059293,61,12.26166995,21,Dic,125.58
60007,Vasconia,ANIMAS02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,75.02749734,11.7290331,45,11.37409599,20,Dic,132.99
60007,Vasconia,ANIMAS02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,75.02749734,11.7290331,45,11.37409599,20,Dic,139.37
16643,Sucuya,16643,MECANIZADA,CP731547,Si,GLIFOSATO ALEMAN,94.76676385,13.08475619,54,11.70282709,20,Dic,114.99
35003,Los Jicaros  La Teca,GEMELOS,MECANIZADA,CP722086,Si,TRINEXAPAC ,128.3826535,11.6059293,61,12.26166995,21,Dic,124.7
60007,Vasconia,ANIMAS02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,75.02749734,11.7290331,45,11.37409599,20,Dic,136.45
60007,Vasconia,ANIMAS02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,75.02749734,11.7290331,45,11.37409599,20,Dic,135.61
35003,Los Jicaros  La Teca,GEMELOS,MECANIZADA,CP722086,Si,TRINEXAPAC ,128.3826535,11.6059293,61,12.26166995,21,Dic,121.73
60007,Vasconia,ANIMAS02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,75.02749734,11.7290331,45,11.37409599,20,Dic,127.3
60007,Vasconia,ANIMAS02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,75.02749734,11.7290331,45,11.37409599,20,Dic,132.17
16643,Sucuya,16643,MECANIZADA,CP731547,Si,GLIFOSATO ALEMAN,94.76676385,13.08475619,54,11.70282709,20,Dic,114.94
35003,Los Jicaros  La Teca,GEMELOS,MECANIZADA,CP722086,Si,TRINEXAPAC ,128.3826535,11.6059293,61,12.26166995,21,Dic,98.19
60007,Vasconia,ANIMAS02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,75.02749734,11.7290331,45,11.37409599,20,Dic,137.24
35003,Los Jicaros  La Teca,GEMELOS,MECANIZADA,CP722086,Si,TRINEXAPAC ,128.3826535,11.6059293,61,12.26166995,21,Dic,129.99
35003,Los Jicaros  La Teca,GEMELOS,MECANIZADA,CP722086,Si,TRINEXAPAC ,128.3826535,11.6059293,61,12.26166995,21,Dic,128.81
16643,Sucuya,16643,MECANIZADA,CP731547,Si,GLIFOSATO ALEMAN,94.76676385,13.08475619,54,11.70282709,20,Dic,109.24
35003,Los Jicaros  La Teca,GEMELOS,MECANIZADA,CP722086,Si,TRINEXAPAC ,128.3826535,11.6059293,61,12.26166995,21,Dic,118.78
